"Combo" "Temp" "NetProfit"
"Combo4" 88 70
"Combo1" 91 74
"Combo1" 87 71
"Combo4" 89 60
"Combo3" 89 64
"Combo1" 86 67
"Combo4" 91 69
"Combo4" 87 70
"Combo1" 90 63
"Combo4" 96 70
"Combo1" 88 64
"Combo1" 82 57
"Combo1" 84 62
"Combo4" 89 63
"Combo4" 84 65
"Combo4" 87 68
"Combo1" 90 70
"Combo4" 90 69
"Combo1" 96 63
"Combo4" 89 68
"Combo1" 86 64
"Combo4" 93 78
"Combo1" 92 63
"Combo4" 92 65
"Combo4" 93 63
"Combo1" 82 65
"Combo1" 86 62
"Combo3" 85 60
"Combo1" 86 70
"Combo4" 91 67
"Combo3" 88 55
"Combo3" 92 53
"Combo4" 88 66
"Combo2" 87 72
"Combo4" 86 66
"Combo1" 91 69
"Combo1" 87 70
"Combo2" 87 63
"Combo1" 93 70
"Combo2" 93 61
"Combo3" 90 65
"Combo4" 85 67
"Combo1" 88 65
"Combo1" 85 65
"Combo1" 91 77
"Combo4" 87 69
"Combo4" 84 67
"Combo1" 90 68
"Combo4" 88 77
"Combo1" 89 60
"Combo4" 90 71
"Combo1" 86 62
"Combo1" 87 62
"Combo4" 88 69
"Combo3" 85 65
"Combo4" 86 69
"Combo4" 90 66
"Combo4" 86 67
"Combo3" 87 61
"Combo4" 81 64
"Combo2" 92 74
"Combo1" 88 67
"Combo1" 94 68
"Combo1" 88 68
"Combo1" 86 62
"Combo1" 88 66
"Combo4" 87 62
"Combo4" 89 64
"Combo1" 86 72
"Combo1" 89 58
"Combo4" 92 71
"Combo4" 84 71
"Combo4" 91 67
"Combo1" 88 71
"Combo4" 89 66
"Combo1" 90 68
"Combo4" 90 74
"Combo4" 87 68
"Combo1" 80 61
"Combo4" 91 65
"Combo3" 82 55
"Combo4" 91 65
"Combo1" 95 65
"Combo4" 86 66
"Combo4" 94 64
"Combo2" 95 67
"Combo1" 88 67
"Combo1" 93 65
"Combo1" 85 68
"Combo1" 90 69
"Combo3" 88 63
"Combo1" 90 60
"Combo1" 89 72
"Combo3" 86 62
"Combo4" 82 64
"Combo1" 90 68
"Combo1" 89 69
"Combo4" 94 67
"Combo4" 85 64
"Combo4" 93 75
"Combo4" 90 72
"Combo1" 91 78
